protocol_mode,true_device_id,expected_profile_count,recovered_profile_count,recovered_fraction,exact_history_recovered
standard_rsp,Device-0138,4,4,1.0,True
standard_rsp,Device-0139,4,4,1.0,True
standard_rsp,Device-0140,4,4,1.0,True
standard_rsp,Device-0141,4,4,1.0,True
standard_rsp,Device-0142,4,4,1.0,True
standard_rsp,Device-0143,4,4,1.0,True
standard_rsp,Device-0144,4,4,1.0,True
standard_rsp,Device-0145,4,4,1.0,True
standard_rsp,Device-0146,4,4,1.0,True
standard_rsp,Device-0147,4,4,1.0,True
standard_rsp,Device-0148,4,4,1.0,True
standard_rsp,Device-0149,4,4,1.0,True
standard_rsp,Device-0150,4,4,1.0,True
standard_rsp,Device-0151,4,4,1.0,True
standard_rsp,Device-0152,4,4,1.0,True
standard_rsp,Device-0153,4,4,1.0,True
standard_rsp,Device-0154,4,4,1.0,True
standard_rsp,Device-0155,4,4,1.0,True
standard_rsp,Device-0156,4,4,1.0,True
standard_rsp,Device-0157,4,4,1.0,True
standard_rsp,Device-0158,4,4,1.0,True
standard_rsp,Device-0159,4,4,1.0,True
standard_rsp,Device-0160,4,4,1.0,True
standard_rsp,Device-0161,4,4,1.0,True
standard_rsp,Device-0162,4,4,1.0,True
standard_rsp,Device-0163,4,4,1.0,True
standard_rsp,Device-0164,4,4,1.0,True
standard_rsp,Device-0165,4,4,1.0,True
standard_rsp,Device-0166,4,4,1.0,True
standard_rsp,Device-0167,4,4,1.0,True
standard_rsp,Device-0168,4,4,1.0,True
standard_rsp,Device-0169,4,4,1.0,True
standard_rsp,Device-0170,4,4,1.0,True
standard_rsp,Device-0171,4,4,1.0,True
standard_rsp,Device-0172,4,4,1.0,True
standard_rsp,Device-0173,4,4,1.0,True
standard_rsp,Device-0174,4,4,1.0,True
standard_rsp,Device-0175,4,4,1.0,True
standard_rsp,Device-0176,4,4,1.0,True
standard_rsp,Device-0177,4,4,1.0,True
standard_rsp,Device-0178,4,4,1.0,True
standard_rsp,Device-0179,4,4,1.0,True
standard_rsp,Device-0180,4,4,1.0,True
standard_rsp,Device-0181,4,4,1.0,True
standard_rsp,Device-0182,4,4,1.0,True
standard_rsp,Device-0183,4,4,1.0,True
standard_rsp,Device-0184,4,4,1.0,True
standard_rsp,Device-0185,4,4,1.0,True
standard_rsp,Device-0186,4,4,1.0,True
standard_rsp,Device-0187,4,4,1.0,True
standard_rsp,Device-0188,4,4,1.0,True
standard_rsp,Device-0189,4,4,1.0,True
standard_rsp,Device-0190,4,4,1.0,True
standard_rsp,Device-0191,4,4,1.0,True
standard_rsp,Device-0192,4,4,1.0,True
standard_rsp,Device-0193,4,4,1.0,True
standard_rsp,Device-0194,4,4,1.0,True
standard_rsp,Device-0195,4,4,1.0,True
standard_rsp,Device-0196,4,4,1.0,True
standard_rsp,Device-0197,4,4,1.0,True
standard_rsp,Device-0198,4,4,1.0,True
standard_rsp,Device-0199,4,4,1.0,True
standard_rsp,Device-0200,4,4,1.0,True
standard_rsp,Device-0201,4,4,1.0,True
standard_rsp,Device-0202,4,4,1.0,True
standard_rsp,Device-0203,4,4,1.0,True
standard_rsp,Device-0204,4,4,1.0,True
standard_rsp,Device-0205,4,4,1.0,True
standard_rsp,Device-0206,4,4,1.0,True
standard_rsp,Device-0207,4,4,1.0,True
standard_rsp,Device-0208,4,4,1.0,True
standard_rsp,Device-0209,4,4,1.0,True
standard_rsp,Device-0210,4,4,1.0,True
standard_rsp,Device-0211,4,4,1.0,True
standard_rsp,Device-0212,4,4,1.0,True
standard_rsp,Device-0213,4,4,1.0,True
standard_rsp,Device-0214,4,4,1.0,True
standard_rsp,Device-0215,4,4,1.0,True
standard_rsp,Device-0216,4,4,1.0,True
standard_rsp,Device-0217,4,4,1.0,True
standard_rsp,Device-0218,4,4,1.0,True
standard_rsp,Device-0219,4,4,1.0,True
standard_rsp,Device-0220,4,4,1.0,True
standard_rsp,Device-0221,4,4,1.0,True
standard_rsp,Device-0222,4,4,1.0,True
standard_rsp,Device-0223,4,4,1.0,True
standard_rsp,Device-0224,4,4,1.0,True
standard_rsp,Device-0225,4,4,1.0,True
standard_rsp,Device-0226,4,4,1.0,True
standard_rsp,Device-0227,4,4,1.0,True
standard_rsp,Device-0228,4,4,1.0,True
standard_rsp,Device-0229,4,4,1.0,True
standard_rsp,Device-0230,4,4,1.0,True
standard_rsp,Device-0231,4,4,1.0,True
standard_rsp,Device-0232,4,4,1.0,True
standard_rsp,Device-0233,4,4,1.0,True
standard_rsp,Device-0234,4,4,1.0,True
standard_rsp,Device-0235,4,4,1.0,True
standard_rsp,Device-0236,4,4,1.0,True
standard_rsp,Device-0237,4,4,1.0,True
standard_rsp,Device-0238,4,4,1.0,True
standard_rsp,Device-0239,4,4,1.0,True
standard_rsp,Device-0240,4,4,1.0,True
standard_rsp,Device-0241,4,4,1.0,True
standard_rsp,Device-0242,4,4,1.0,True
standard_rsp,Device-0243,4,4,1.0,True
standard_rsp,Device-0244,4,4,1.0,True
standard_rsp,Device-0245,4,4,1.0,True
standard_rsp,Device-0246,4,4,1.0,True
standard_rsp,Device-0247,4,4,1.0,True
standard_rsp,Device-0248,4,4,1.0,True
standard_rsp,Device-0249,4,4,1.0,True
standard_rsp,Device-0250,4,4,1.0,True
aura_rsp,Device-0001,4,1,0.25,False
aura_rsp,Device-0002,4,1,0.25,False
aura_rsp,Device-0003,4,1,0.25,False
aura_rsp,Device-0004,4,1,0.25,False
aura_rsp,Device-0005,4,1,0.25,False
aura_rsp,Device-0006,4,1,0.25,False
aura_rsp,Device-0007,4,1,0.25,False
aura_rsp,Device-0008,4,1,0.25,False
aura_rsp,Device-0009,4,1,0.25,False
aura_rsp,Device-0010,4,1,0.25,False
aura_rsp,Device-0011,4,1,0.25,False
aura_rsp,Device-0012,4,1,0.25,False
