scenario,category,initial_state,accepted,reason,rejection_stage,state_before,state_after,ctr_before,ctr_after,last_hash_before,last_hash_after,state_changed,profile_decrypted,profile_installed,receipt_hmac_valid,receipt_generated,reinstall_business_executed,attempts_rejected,attempts_total,elapsed_ms,ticket_fresh,lph_preserved,salt_p_preserved,correct_lifecycle_unchanged,prior_reinstall_succeeded,chain_advanced_to_enabled,session_fresh,bind_t_fresh,profile_digest_match,counter_continuous,predecessor_hash_correct,final_hash_is_receipt,single_lifecycle_row,ticket_hash,session_id,Bind_t,delivery
installed_direct_reinstall,attack,installed,False,INVALID_REINSTALL_PREDECESSOR,state_transition,installed,installed,5,5,9687fd05199c69120c900b261408107bf840b20b864854fafaa4ece8cb68ecd4,9687fd05199c69120c900b261408107bf840b20b864854fafaa4ece8cb68ecd4,False,False,False,True,True,False,1,1,51.068,True,True,True,,,,,,,,,,,,,,
enabled_direct_reinstall,attack,enabled,False,INVALID_REINSTALL_PREDECESSOR,state_transition,enabled,enabled,5,5,22035c6d356ca4cbc9a3f3105d76c276da04b91b99e34d573a359ff5fe41284c,22035c6d356ca4cbc9a3f3105d76c276da04b91b99e34d573a359ff5fe41284c,False,False,False,True,True,False,1,1,57.598,True,True,True,,,,,,,,,,,,,,
disabled_direct_reinstall,attack,disabled,False,INVALID_REINSTALL_PREDECESSOR,state_transition,disabled,disabled,5,5,8a7ac13bf36b0f043f836a3f4ef58185851df8a090deb15a02c770e29ae3fe6b,8a7ac13bf36b0f043f836a3f4ef58185851df8a090deb15a02c770e29ae3fe6b,False,False,False,True,True,False,1,1,66.171,True,True,True,,,,,,,,,,,,,,
wrong_lph,attack,tombstone,False,AUTHORIZATION_LPH_MISMATCH,authorization,tombstone,tombstone,5,5,9bae7e299df641e3d7513f93ef4ef76165c0e53021cd0a84cf0ab72028f8b571,9bae7e299df641e3d7513f93ef4ef76165c0e53021cd0a84cf0ab72028f8b571,False,False,False,True,True,False,1,1,55.596,True,False,False,True,,,,,,,,,,,,,
new_salt_p,attack,tombstone,False,REINSTALL_SALT_MISMATCH,profile_metadata,tombstone,tombstone,5,5,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,False,False,False,True,True,False,1,1,45.088,True,True,False,,,,,,,,,,,,,,
old_ticket,attack,tombstone,False,TICKET_EXPIRED,authorization,tombstone,tombstone,5,5,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,False,False,False,True,True,False,1,1,67.401,False,True,True,,,,,,,,,,,,,,
old_reinstall_receipt,attack,enabled,False,STALE_RECEIPT_REPLAY,replay_detection,enabled,enabled,7,7,dd1875ee97a9c0680fd09c569fbf63d5de596c72e338831a6e0fe61c25d89d85,dd1875ee97a9c0680fd09c569fbf63d5de596c72e338831a6e0fe61c25d89d85,False,False,False,True,True,False,1,1,39.72,False,True,True,,True,True,,,,,,,,,,,
counter_or_last_hash_tamper,attack,tombstone,False,COUNTER_MISMATCH;LAST_HASH_MISMATCH,counter;last_hash,tombstone,tombstone,5,5,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,False,False,False,True,True,False,2,2,76.206,True,True,True,,,,,,,,,,,,,,
legal_tombstone_reinstall,positive_control,tombstone,True,ACCEPTED,none,tombstone,installed,5,6,87b7a3f7e9288c04763e364d57d74eeb5aeccbe5d0409755c2b2f67ac7616852,1e8c7cf481885869530f45d0db438f7c2037e66f6b0b0b0c5e4d878b1f3f4b3d,True,True,True,True,True,True,0,1,53.91,True,True,True,,,,True,True,True,True,True,True,True,e65af80dddbc73a1508968dabddb0e6cf31884465ef024c252f9fdb8d27d6af7,SESSION-8267d72aba205ef65a0069a0,BIND-af0dc9cd832b8d98cbc0a609,"{""ciphertext_bytes"": 12223, ""ctx_K"": {""Bind_t"": ""BIND-af0dc9cd832b8d98cbc0a609"", ""domain"": ""AURA-RSP:reinstall-profile-delivery:v1"", ""lph"": ""hwQggjDX3JQxWpqdzwb69gjtY0IB1AUmfuyQc3cGq7UKZNvx"", ""profile_sha256"": ""38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422"", ""salt_p_hash"": ""accc8520bde10b69c504d55ed1eb4b6d7d4379f8082b73ea226a429e85848e0d"", ""session_id"": ""SESSION-8267d72aba205ef65a0069a0"", ""ticket_hash"": ""e65af80dddbc73a1508968dabddb0e6cf31884465ef024c252f9fdb8d27d6af7""}, ""profile_bytes"": 12207, ""profile_decrypted"": true, ""profile_digest_match"": true, ""profile_sha256"": ""38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422""}"
