arrival_span_ms,business_execution_count,concurrency,double_spend_detection_rate,double_spend_percent,double_spend_requests,eid_recovery_accuracy,exact_replay_false_positive_rate,exact_replay_requests,false_trace_count,normal_requests,requests,scenario,throughput_req_s,ticket_count,transaction_retry_count,unique_trace_count,wall_ms
0,1000,1,0.0,0,0,0.0,0.0,2405,0,1000,3405,double-00pct,420.762,1000,0,0,8092.457
10,1000,8,1.0,1,30,1.0,0.0,2341,0,1000,3371,double-01pct,776.028,1000,0,10,4343.915
100,1000,32,1.0,5,150,1.0,0.0,2323,0,1000,3473,double-05pct,812.874,1000,0,50,4272.493
1000,1000,32,1.0,10,354,1.0,0.0,2006,0,1000,3360,double-10pct,737.529,1000,0,100,4555.755
2500,1000,8,1.0,20,762,1.0,0.0,1867,0,1000,3629,double-20pct,783.206,1000,0,200,4633.517
5000,1000,1,1.0,50,1828,1.0,0.0,1217,0,1000,4045,double-50pct,477.951,1000,0,500,8463.214
